date_id,day,month,year,quarter
476,21,3,1972,1
477,30,10,1972,3
478,9,1,1972,1
479,16,3,1972,1
480,5,10,1972,3
481,13,12,1972,3
482,9,3,1972,1
483,4,12,1972,3
484,29,3,1972,1
485,5,5,1972,2
486,8,4,1972,1
487,16,5,1972,2
488,28,4,1972,1
489,14,4,1972,1
490,4,8,1972,2
491,21,4,1972,1
492,24,3,1972,1
493,12,5,1972,2
494,20,3,1972,1
495,21,7,1972,2
496,19,5,1972,2
497,11,5,1972,2
498,14,6,1972,2
499,20,5,1972,2
500,16,6,1972,2
501,1,4,1972,1
502,18,5,1972,2
503,10,11,1972,3
504,9,6,1972,2
505,4,5,1972,2
506,13,10,1972,3
507,11,12,1972,3
508,12,6,1972,2
509,17,1,1972,1
510,1,8,1972,2
511,17,11,1973,3
512,19,1,1973,1
513,23,4,1973,1
514,9,7,1973,2
515,19,8,1973,2
516,18,11,1973,3
517,24,1,1973,1
518,9,3,1973,1
519,12,2,1973,1
520,7,2,1973,1
521,16,9,1973,3
522,7,10,1973,3
523,21,10,1973,3
524,4,11,1973,3
525,1,4,1973,1
526,23,6,1973,2
527,12,8,1973,2
528,4,2,1973,1
529,14,4,1973,1
530,18,1,1973,1
531,4,6,1973,2
532,2,4,1973,1
533,8,1,1973,1
534,11,2,1973,1
535,25,11,1973,3
536,15,4,1973,1
537,23,7,1973,2
538,30,4,1973,1
539,17,6,1973,2
540,16,7,1973,2
541,9,4,1973,1
542,8,10,1973,3
543,19,2,1973,1
544,29,10,1973,3
545,1,1,1973,1
546,5,8,1973,2
547,6,5,1973,2
548,11,6,1973,2
549,28,10,1973,3
550,6,2,1973,1
551,29,1,1973,1
552,30,9,1973,3
553,19,3,1973,1
554,14,5,1973,2
555,2,6,1973,2
556,13,8,1973,2
557,20,8,1973,2
558,6,8,1973,2
559,17,9,1973,3
560,24,9,1973,3
561,27,11,1973,3
562,11,11,1973,3
563,16,4,1973,1
564,21,5,1973,2
565,25,6,1973,2
566,29,8,1973,2
567,26,12,1972,3
568,4,12,1973,3
569,9,5,1973,2
570,17,1,1973,1
571,26,3,1973,1
572,22,3,1973,1
573,3,3,1973,1
574,15,1,1973,1
575,12,3,1973,1
576,22,1,1973,1
577,3,1,1973,1
578,26,2,1973,1
579,12,12,1973,3
580,19,9,1973,3
581,4,5,1973,2
582,23,3,1973,1
583,23,2,1973,1
584,13,4,1973,1
585,20,4,1973,1
586,16,11,1973,3
587,30,11,1973,3
588,14,12,1973,3
589,18,5,1973,2
590,19,10,1973,3
591,23,11,1973,3
592,3,8,1973,2
593,7,12,1973,3
594,5,10,1973,3
595,20,7,1973,2
596,27,4,1973,1
597,3,5,1973,2
598,28,12,1973,3
599,17,12,1973,3
600,11,5,1973,2
601,6,4,1973,1
602,17,8,1973,2
603,2,3,1973,1
604,5,3,1973,1
605,19,11,1973,3
606,10,9,1973,3
607,20,3,1973,1
608,27,3,1974,1
609,4,2,1974,1
610,16,11,1974,3
611,27,10,1974,3
612,18,2,1974,1
613,17,1,1974,1
614,14,7,1974,2
615,25,8,1974,2
616,15,9,1974,3
617,31,3,1974,1
618,7,4,1974,1
619,22,1,1974,1
620,3,3,1974,1
621,17,3,1974,1
622,24,3,1974,1
623,24,11,1974,3
624,7,1,1974,1
625,11,2,1974,1
626,15,5,1974,2
627,13,10,1974,3
628,12,5,1974,2
629,8,7,1974,2
630,21,7,1974,2
631,6,10,1974,3
632,8,4,1974,1
633,21,10,1974,3
634,4,11,1974,3
635,28,10,1974,3
636,31,12,1973,3
637,19,8,1974,2
638,26,5,1974,2
639,17,6,1974,2
640,24,2,1974,1
641,22,4,1974,1
642,21,1,1974,1
643,25,3,1974,1
644,22,7,1974,2
645,13,5,1974,2
646,20,5,1974,2
647,26,8,1974,2
648,23,7,1974,2
649,5,8,1974,2
650,12,8,1974,2
651,31,7,1974,2
652,17,9,1974,3
653,23,9,1974,3
654,14,10,1974,3
655,15,4,1974,1
656,20,10,1974,3
657,3,11,1974,3
658,3,6,1974,2
659,24,6,1974,2
660,28,8,1974,2
661,26,12,1973,3
662,10,12,1974,3
663,8,5,1974,2
664,10,3,1974,1
665,9,7,1974,2
666,14,1,1974,1
667,11,3,1974,1
668,30,1,1974,1
669,1,6,1974,2
670,30,3,1974,1
671,2,12,1974,3
672,29,1,1974,1
673,7,3,1974,1
674,16,12,1974,3
675,1,5,1974,2
676,20,12,1974,3
677,15,11,1974,3
678,10,5,1974,2
679,3,5,1974,2
680,22,3,1974,1
681,19,4,1974,1
682,13,9,1974,3
683,13,12,1974,3
684,27,9,1974,3
685,4,10,1974,3
686,11,10,1974,3
687,8,3,1974,1
688,11,1,1974,1
689,4,1,1974,1
690,4,5,1974,2
691,19,7,1974,2
692,26,9,1974,3
693,12,4,1974,1
694,5,4,1974,1
695,20,9,1974,3
696,23,8,1974,2
697,2,8,1974,2
698,3,10,1974,3
699,6,12,1974,3
700,26,4,1974,1
701,12,9,1974,3
702,31,10,1974,3
703,24,5,1974,2
704,29,11,1974,3
705,17,5,1974,2
706,26,7,1974,2
707,4,3,1974,1
708,10,6,1974,2
709,29,10,1974,3
710,23,2,1975,1
711,3,2,1975,1
712,26,10,1975,3
713,21,9,1975,3
714,15,11,1975,3
715,13,1,1975,1
716,29,1,1975,1
717,24,2,1975,1
718,4,3,1975,1
719,17,3,1975,1
720,27,4,1975,1
721,20,7,1975,2
722,5,10,1975,3
723,3,4,1975,1
724,3,3,1975,1
725,10,3,1975,1
726,17,11,1975,3
727,17,2,1975,1
728,7,4,1975,1
